date,R_fighter,B_fighter,Winner,weight_class,gender,no_of_rounds,R_current_win_streak,B_current_win_streak,R_longest_win_streak,B_longest_win_streak,R_current_lose_streak,B_current_lose_streak,R_wins,B_wins,R_losses,B_losses,R_total_rounds_fought,B_total_rounds_fought,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_win_by_Submission,B_win_by_Submission,R_Height_cms,B_Height_cms,R_Reach_cms,B_Reach_cms,R_age,B_age,R_avg_SIG_STR_landed,B_avg_SIG_STR_landed,R_avg_SIG_STR_pct,B_avg_SIG_STR_pct,R_avg_SUB_ATT,B_avg_SUB_ATT,R_avg_TD_landed,B_avg_TD_landed,R_avg_TD_pct,B_avg_TD_pct,R_Stance,B_Stance,R_ufc_fights,B_ufc_fights
2026-01-31,Alexander Volkanovski,Diego Lopes,Red,Featherweight,MALE,5,1,1,12,5,0,0,14,6,3,3,58,22,10,1,5,3,0,1,167.64,180.34,180.34,182.88,37,31,5.99,3.83,0.57,0.47,0.2,1.4,1.63,0.88,0.34,0.5,Orthodox,Orthodox,17,9
2026-01-31,Dan Hooker,Benoit Saint Denis,Blue,Lightweight,MALE,3,0,3,4,5,1,0,14,8,9,3,53,20,0,0,7,4,2,4,182.88,180.34,190.5,185.42,35,30,4.82,5.62,0.48,0.58,0.6,1.8,0.68,4.19,0.33,0.35,Switch,Southpaw,23,11
2026-01-31,Rafael Fiziev,Mauricio Ruffy,Blue,Lightweight,MALE,3,1,0,6,4,0,1,7,4,4,1,30,10,0,0,3,3,0,0,172.72,180.34,180.34,190.5,32,29,4.71,4.19,0.52,0.58,0.0,0.0,0.83,0.0,0.66,0.0,Switch,Orthodox,11,5
2026-01-31,Quillan Salkilld,Jamie Mullarkey,Red,Lightweight,MALE,3,4,1,4,2,0,0,4,6,0,6,8,27,0,0,2,2,0,0,182.88,182.88,190.5,187.96,26,31,5.16,4.1,0.57,0.46,0.8,0.1,7.95,2.46,0.36,0.3,Orthodox,Orthodox,4,12
2026-01-31,Junior Tafa,Billy Elekana,Blue,Light Heavyweight,MALE,3,0,2,1,2,1,0,2,2,4,1,11,6,0,0,2,0,0,1,190.5,190.5,190.5,195.58,29,30,3.41,2.71,0.51,0.56,0.0,0.8,0.0,0.85,0.0,0.22,Orthodox,Southpaw,6,3
2026-01-31,Cam Rowston,Cody Brundage,Red,Middleweight,MALE,3,2,0,2,2,0,1,2,5,1,7,5,24,0,0,2,3,0,1,190.5,182.88,198.12,182.88,31,31,4.26,2.26,0.46,0.48,0.5,0.5,0.5,1.88,0.5,0.41,Orthodox,Orthodox,3,12
2026-01-31,Jacob Malkoun,Torrez Finney,Red,Middleweight,MALE,3,1,4,2,4,0,0,4,4,3,0,16,9,0,0,1,1,0,1,175.26,172.72,185.42,190.5,30,27,4.55,1.78,0.58,0.54,0.9,0.8,5.81,6.86,0.4,0.59,Orthodox,Orthodox,7,4
2026-01-31,Jonathan Micallef,Oban Elliott,Red,Welterweight,MALE,3,2,0,2,4,0,1,2,4,0,1,4,15,0,0,0,1,1,0,182.88,182.88,195.58,182.88,26,28,3.96,3.62,0.41,0.48,1.1,0.0,1.13,1.52,0.66,0.4,Southpaw,Orthodox,2,5
2026-01-31,Kaan Ofli,Yizha,Red,Featherweight,MALE,3,1,1,1,3,0,0,1,6,2,2,6,16,1,2,0,1,1,3,170.18,170.18,167.64,180.34,32,29,2.33,3.25,0.45,0.47,0.4,0.9,0.38,3.42,0.07,0.33,Orthodox,Orthodox,3,8
2026-01-31,Sangwook Kim,Dom Mar Fan,Blue,Lightweight,MALE,5,2,2,2,2,0,0,3,2,1,0,8,6,0,0,1,0,2,0,182.88,180.34,180.34,190.5,32,25,5.11,3.71,0.55,0.56,1.2,0.3,1.77,2.0,0.22,0.5,Orthodox,Orthodox,4,2
2026-01-31,Keiichiro Nakamura,Sebastian Szalay,Red,Featherweight,MALE,5,2,2,2,2,0,0,2,2,0,0,5,4,0,0,1,1,0,0,177.8,167.64,177.8,167.64,27,31,4.48,4.94,0.41,0.41,0.0,0.0,0.0,0.51,0.0,0.2,Southpaw,Orthodox,2,2
2026-01-31,Sulangrangbo,Lawrence Lui,Blue,Bantamweight,MALE,5,2,2,2,2,0,0,2,2,0,0,4,5,0,0,1,1,0,0,175.26,170.18,167.64,182.88,20,29,3.96,3.72,0.48,0.39,0.0,0.0,0.0,5.3,0.0,0.4,Southpaw,Orthodox,2,2
2026-01-24,Justin Gaethje,Paddy Pimblett,Red,Lightweight,MALE,5,1,7,4,7,0,0,9,7,5,0,36,14,2,0,6,2,0,3,180.34,177.8,177.8,185.42,37,31,6.48,5.49,0.58,0.52,0.0,1.2,0.33,0.69,0.4,0.21,Orthodox,Orthodox,14,7
2026-01-24,Sean O'Malley,Song Yadong,Red,Bantamweight,MALE,3,0,1,6,4,2,0,11,11,3,3,37,42,4,0,7,5,0,1,180.34,172.72,182.88,170.18,31,28,6.05,4.42,0.6,0.43,0.2,0.1,0.24,0.78,0.42,0.39,Switch,Orthodox,14,14
2026-01-24,Arnold Allen,Jean Silva,Blue,Featherweight,MALE,3,1,0,10,6,0,1,11,6,2,1,38,14,0,0,2,4,2,1,172.72,170.18,177.8,175.26,32,29,3.47,4.82,0.42,0.51,0.3,0.6,0.86,1.2,0.47,0.6,Southpaw,Orthodox,13,7
2026-01-24,Umar Nurmagomedov,Deiveson Figueiredo,Red,Bantamweight,MALE,3,1,1,6,5,0,0,7,14,1,5,23,54,1,6,1,4,2,4,172.72,165.1,175.26,172.72,30,38,3.86,2.63,0.56,0.53,0.2,1.2,4.03,1.61,0.46,0.35,Orthodox,Orthodox,8,19
